ID,Team A,Team B,A,B,Tournament,Phase,Extra
24470,Steve E,Lee W,5,7,Birmingham XLVII,,
24471,Garry C,Cornelius H,7,3,Birmingham XLVII,,
24472,Mark V,John V,1,2,Birmingham XLVII,,
24473,Simon K,Mick C,6,4,Birmingham XLVII,,
24474,Steve E,Andy G,1,4,Birmingham XLVII,,
24475,Garry C,Ian K,4,2,Birmingham XLVII,,
24476,Cornelius H,Lee W,2,4,Birmingham XLVII,,
24477,Andy G,Brendan P,13,3,Manchester III,,
24478,Andy G,Christopher D,11,6,Manchester III,,
24479,Andy G,Garry C,5,0,Manchester III,,
24480,Andy G,Ian K,11,1,Manchester III,,
24481,Andy G,John V,6,1,Manchester III,,
24482,Andy G,Lee W,7,5,Manchester III,,
24483,Andy G,Mark V,9,1,Manchester III,,
24484,Andy G,Mick C,10,2,Manchester III,,
24485,Andy G,Robert S,8,3,Manchester III,,
24486,Andy G,Steve C,7,6,Manchester III,,
24487,Andy G,Steve E,5,3,Manchester III,,
24488,Brendan P,Christopher D,0,9,Manchester III,,
24489,Brendan P,Garry C,2,5,Manchester III,,
24490,Brendan P,Ian K,2,6,Manchester III,,
24491,Brendan P,John V,2,3,Manchester III,,
24492,Brendan P,Lee W,1,7,Manchester III,,
24493,Brendan P,Mark V,2,2,Manchester III,,
24494,Brendan P,Mick C,2,4,Manchester III,,
24495,Brendan P,Robert S,1,5,Manchester III,,
25976,Andy G,Lee W,9,3,Milton Keynes I,,
25977,Ian K,Mark V,8,2,Milton Keynes I,,
25978,Simon K,Robert S,1,6,Milton Keynes I,,
25979,Steve B,Steve E,3,6,Milton Keynes I,,
25980,Ian K,Steve C,3,4,Milton Keynes I,,
25981,Garry C,Andy G,3,9,Milton Keynes I,,
25982,Simon K,Mick C,3,3,Milton Keynes I,,
25983,Steve B,Lee W,3,6,Milton Keynes I,,
25984,Steve E,Mark V,11,1,Milton Keynes I,,
25985,Steve C,Simon K,4,3,Milton Keynes I,,
25986,Steve B,Garry C,1,8,Milton Keynes I,,
25987,Steve E,Ian K,3,2,Milton Keynes I,,
