ID,Team A,Team B,A,B,Tournament,Phase,Extra
2601,Malcolm A,Darren G,6,1,London IX,,
2602,Robert S,Simon B,4,2,London IX,,
2603,Darren G,Simon B,1,2,London IX,,
2604,Robert S,Malcolm A,7,2,London IX,,
2605,Robert S,Darren G,7,1,London IX,,
2606,Simon B,Malcolm A,1,7,London IX,,
2607,Darren G,Malcolm A,1,2,London IX,,
2608,Simon B,Robert S,4,8,London IX,,
2609,Simon B,Darren G,2,0,London IX,,
2610,Malcolm A,Robert S,1,4,London IX,,
2611,Darren G,Robert S,2,5,London IX,,
2612,Malcolm A,Simon B,5,3,London IX,,
2613,Steve C,Mark W,3,1,Beard Tuesday I,,
2614,Nick H,Haydn H,0,5,Beard Tuesday I,,
2615,Martin B,James B,2,1,Beard Tuesday I,,
2616,Mark W,Haydn H,4,1,Beard Tuesday I,,
2617,James B,Steve C,2,2,Beard Tuesday I,,
2618,Martin B,Nick H,8,0,Beard Tuesday I,,
2619,James B,Mark W,1,2,Beard Tuesday I,,
2620,Haydn H,Martin B,0,7,Beard Tuesday I,,
2621,Steve C,Nick H,6,2,Beard Tuesday I,,
2622,Mark W,Martin B,2,5,Beard Tuesday I,,
2623,Nick H,James B,2,5,Beard Tuesday I,,
2624,Steve C,Haydn H,7,0,Beard Tuesday I,,
2625,Nick H,Mark W,1,5,Beard Tuesday I,,
2626,Martin B,Steve C,7,4,Beard Tuesday I,,
2627,James B,Haydn H,4,1,Beard Tuesday I,,
2628,Mark W,Steve C,4,2,Beard Tuesday I,,
2629,Haydn H,Nick H,1,0,Beard Tuesday I,,
2630,James B,Martin B,3,5,Beard Tuesday I,,
2631,Haydn H,Mark W,0,5,Beard Tuesday I,,
2632,Steve C,James B,5,1,Beard Tuesday I,,
2633,Nick H,Martin B,0,9,Beard Tuesday I,,
2634,Mark W,James B,0,2,Beard Tuesday I,,
2635,Martin B,Haydn H,5,1,Beard Tuesday I,,
2636,Nick H,Steve C,0,7,Beard Tuesday I,,
2637,Martin B,Mark W,9,1,Beard Tuesday I,,
2638,James B,Nick H,12,0,Beard Tuesday I,,
2639,Haydn H,Steve C,3,7,Beard Tuesday I,,
2640,Mark W,Nick H,6,0,Beard Tuesday I,,
2641,Steve C,Martin B,3,4,Beard Tuesday I,,
2642,Haydn H,James B,1,3,Beard Tuesday I,,
2643,James B,Haydn H,5,0,Beard Tuesday II,,
2644,Mark W,Martin B,2,5,Beard Tuesday II,,
2645,Haydn H,Martin B,1,4,Beard Tuesday II,,
2646,Mark W,James B,2,1,Beard Tuesday II,,
2647,Mark W,Haydn H,2,0,Beard Tuesday II,,
2648,Martin B,James B,4,2,Beard Tuesday II,,
2649,Haydn H,James B,1,6,Beard Tuesday II,,
2650,Martin B,Mark W,3,2,Beard Tuesday II,,
2651,Martin B,Haydn H,6,0,Beard Tuesday II,,
2652,James B,Mark W,2,4,Beard Tuesday II,,
2653,Haydn H,Mark W,0,3,Beard Tuesday II,,
2654,James B,Martin B,3,4,Beard Tuesday II,,
2655,James B,Haydn H,6,3,Beard Tuesday II,,
2656,Mark W,Martin B,2,5,Beard Tuesday II,,
2657,Haydn H,Martin B,1,8,Beard Tuesday II,,
2658,Mark W,James B,3,1,Beard Tuesday II,,
2659,Mark W,Haydn H,2,0,Beard Tuesday II,,
2660,Martin B,James B,5,0,Beard Tuesday II,,
2661,Haydn H,James B,1,5,Beard Tuesday II,,
2662,Martin B,Mark W,4,3,Beard Tuesday II,,
2663,Martin B,Haydn H,3,2,Beard Tuesday II,,
2664,James B,Mark W,5,0,Beard Tuesday II,,
2665,Haydn H,Mark W,2,3,Beard Tuesday II,,
2666,James B,Martin B,5,1,Beard Tuesday II,,
2667,Vagelis D,Marios K,6,1,Athens XIX,,
2668,Panayotis P,Yakos T,11,1,Athens XIX,,
2669,Alkis P,Spyros P,3,5,Athens XIX,,
2670,Marios K,Yakos T,2,1,Athens XIX,,
2671,Spyros P,Vagelis D,11,1,Athens XIX,,
2672,Alkis P,Panayotis P,5,4,Athens XIX,,
2673,Spyros P,Marios K,8,0,Athens XIX,,
2674,Yakos T,Alkis P,1,5,Athens XIX,,
2675,Vagelis D,Panayotis P,4,9,Athens XIX,,
2676,Marios K,Alkis P,2,5,Athens XIX,,
2677,Panayotis P,Spyros P,2,5,Athens XIX,,
2678,Vagelis D,Yakos T,3,1,Athens XIX,,
2679,Panayotis P,Marios K,6,1,Athens XIX,,
2680,Alkis P,Vagelis D,9,1,Athens XIX,,
2681,Spyros P,Yakos T,5,4,Athens XIX,,
2682,Marios K,Vagelis D,3,1,Athens XIX,,
2683,Yakos T,Panayotis P,2,5,Athens XIX,,
2684,Spyros P,Alkis P,4,3,Athens XIX,,
2685,Yakos T,Marios K,3,3,Athens XIX,,
2686,Vagelis D,Spyros P,3,3,Athens XIX,,
2687,Panayotis P,Alkis P,5,1,Athens XIX,,
2688,Marios K,Spyros P,3,5,Athens XIX,,
2689,Alkis P,Yakos T,10,2,Athens XIX,,
2690,Panayotis P,Vagelis D,9,0,Athens XIX,,
2691,Alkis P,Marios K,12,4,Athens XIX,,
2692,Spyros P,Panayotis P,2,6,Athens XIX,,
2693,Yakos T,Vagelis D,1,1,Athens XIX,,
2694,Marios K,Panayotis P,4,11,Athens XIX,,
2695,Vagelis D,Alkis P,2,4,Athens XIX,,
2696,Yakos T,Spyros P,0,6,Athens XIX,,
2697,Martin J,Trevor D,6,5,Dungeon I,,
2698,Mark W,Martin B,3,6,Dungeon I,,
2699,Martin B,Martin J,2,8,Dungeon I,,
2700,Mark W,Robert S,6,3,Dungeon I,,
2701,Martin B,Trevor D,5,4,Dungeon I,,
2702,Martin J,Robert S,7,4,Dungeon I,,
2703,Trevor D,Mark W,7,3,Dungeon I,,
2704,Robert S,Martin B,3,3,Dungeon I,,
2705,Robert S,Trevor D,5,3,Dungeon I,,
2706,Mark W,Martin J,3,6,Dungeon I,,
2707,Trevor D,Martin J,6,7,Dungeon I,,
2708,Martin B,Mark W,7,3,Dungeon I,,
2709,Martin J,Martin B,5,3,Dungeon I,,
2710,Robert S,Mark W,5,0,Dungeon I,,
2711,Trevor D,Martin B,3,4,Dungeon I,,
2712,Robert S,Martin J,4,3,Dungeon I,,
2713,Mark W,Trevor D,0,3,Dungeon I,,
2714,Martin B,Robert S,3,4,Dungeon I,,
2715,Trevor D,Robert S,8,3,Dungeon I,,
2716,Martin J,Mark W,5,4,Dungeon I,,
2717,Steve C,Nazim C,5,1,London X,,
2718,Robert S,Simon B,9,1,London X,,
2719,Nazim C,Simon B,4,3,London X,,
2720,Robert S,Steve C,3,3,London X,,
2721,Robert S,Nazim C,10,0,London X,,
2722,Simon B,Steve C,3,7,London X,,
2723,Nazim C,Steve C,2,6,London X,,
2724,Simon B,Robert S,4,2,London X,,
2725,Simon B,Nazim C,5,1,London X,,
2726,Steve C,Robert S,4,4,London X,,
2727,Nazim C,Robert S,1,4,London X,,
2728,Steve C,Simon B,5,4,London X,,
2729,Steve C,Nazim C,6,3,London X,,
2730,Robert S,Simon B,3,6,London X,,
2731,Nazim C,Simon B,1,5,London X,,
2732,Robert S,Steve C,8,4,London X,,
2733,Robert S,Nazim C,7,1,London X,,
2734,Simon B,Steve C,1,3,London X,,
2735,Nazim C,Steve C,4,4,London X,,
2736,Simon B,Robert S,3,6,London X,,
2737,Simon B,Nazim C,2,2,London X,,
2738,Steve C,Robert S,5,7,London X,,
2739,Nazim C,Robert S,4,5,London X,,
2740,Steve C,Simon B,6,1,London X,,
2741,James B,Martin B,1,4,Beard Tuesday III,,
2742,Robert S,Mark W,3,0,Beard Tuesday III,,
2743,Trevor D,Martin J,5,2,Beard Tuesday III,,
2744,Martin B,Rikki F,4,4,Beard Tuesday III,,
2745,Mark W,James B,0,2,Beard Tuesday III,,
2746,Trevor D,Robert S,7,4,Beard Tuesday III,,
2747,Mark W,Martin B,3,1,Beard Tuesday III,,
2748,Rikki F,Martin J,5,3,Beard Tuesday III,,
2749,James B,Trevor D,4,3,Beard Tuesday III,,
2750,Martin B,Martin J,2,5,Beard Tuesday III,,
2751,Trevor D,Mark W,7,2,Beard Tuesday III,,
2752,Robert S,Rikki F,2,2,Beard Tuesday III,,
2753,Trevor D,Martin B,8,3,Beard Tuesday III,,
2754,Martin J,Robert S,4,2,Beard Tuesday III,,
2755,Rikki F,James B,4,1,Beard Tuesday III,,
2756,Martin B,Robert S,4,2,Beard Tuesday III,,
2757,James B,Martin J,2,4,Beard Tuesday III,,
2758,Rikki F,Mark W,8,1,Beard Tuesday III,,
2759,Robert S,James B,5,2,Beard Tuesday III,,
2760,Trevor D,Rikki F,4,6,Beard Tuesday III,,
2761,Martin J,Mark W,8,1,Beard Tuesday III,,
2762,Martin B,James B,7,2,Beard Tuesday III,,
2763,Mark W,Robert S,3,2,Beard Tuesday III,,
2764,Martin J,Trevor D,10,3,Beard Tuesday III,,
2765,Rikki F,Martin B,8,1,Beard Tuesday III,,
2766,James B,Mark W,5,1,Beard Tuesday III,,
2767,Robert S,Trevor D,7,2,Beard Tuesday III,,
2768,Martin B,Mark W,4,4,Beard Tuesday III,,
2769,Martin J,Rikki F,8,6,Beard Tuesday III,,
2770,Trevor D,James B,8,4,Beard Tuesday III,,
2771,Martin J,Martin B,9,1,Beard Tuesday III,,
2772,Mark W,Trevor D,4,5,Beard Tuesday III,,
2773,Rikki F,Robert S,4,2,Beard Tuesday III,,
2774,Martin B,Trevor D,5,6,Beard Tuesday III,,
2775,Robert S,Martin J,5,3,Beard Tuesday III,,
2776,James B,Rikki F,0,5,Beard Tuesday III,,
2777,Robert S,Martin B,4,3,Beard Tuesday III,,
2778,Martin J,James B,8,3,Beard Tuesday III,,
2779,Mark W,Rikki F,0,3,Beard Tuesday III,,
2780,James B,Robert S,1,1,Beard Tuesday III,,
2781,Rikki F,Trevor D,4,6,Beard Tuesday III,,
2782,Mark W,Martin J,1,6,Beard Tuesday III,,
2783,Vagelis D,Panayotis P,3,3,Athens XX,,
2784,Vasilis K,Nikos A,2,4,Athens XX,,
2785,Alkis P,Antonis T,9,0,Athens XX,,
2786,Panayotis P,Vasilis K,7,3,Athens XX,,
2787,Nikos A,Vagelis D,9,1,Athens XX,,
2788,Vagelis D,Vasilis K,3,2,Athens XX,,
2789,Panayotis P,Alkis P,2,3,Athens XX,,
2790,Alkis P,Vagelis D,13,0,Athens XX,,
2791,Antonis T,Panayotis P,2,9,Athens XX,,
2792,Alkis P,Nikos A,3,4,Athens XX,,
2793,Vasilis K,Alkis P,3,5,Athens XX,,
2794,Vagelis D,Antonis T,2,1,Athens XX,,
2795,Panayotis P,Nikos A,7,3,Athens XX,,
2796,Antonis T,Vasilis K,1,9,Athens XX,,
2797,Antonis T,Nikos A,2,5,Athens XX,,
2798,Panayotis P,Vagelis D,10,3,Athens XX,,
2799,Nikos A,Vasilis K,3,3,Athens XX,,
2800,Antonis T,Alkis P,2,6,Athens XX,,
2801,Vasilis K,Panayotis P,3,6,Athens XX,,
2802,Vagelis D,Nikos A,3,9,Athens XX,,
2803,Vasilis K,Vagelis D,7,2,Athens XX,,
2804,Alkis P,Panayotis P,5,8,Athens XX,,
2805,Vagelis D,Alkis P,3,8,Athens XX,,
2806,Panayotis P,Antonis T,8,0,Athens XX,,
2807,Nikos A,Alkis P,5,3,Athens XX,,
2808,Alkis P,Vasilis K,4,7,Athens XX,,
2809,Antonis T,Vagelis D,5,1,Athens XX,,
2810,Nikos A,Panayotis P,6,5,Athens XX,,
2811,Vasilis K,Antonis T,7,1,Athens XX,,
2812,Nikos A,Antonis T,9,2,Athens XX,,
2813,Martin B,Mark W,6,1,Kitchen V,,
2814,James B,Steve C,4,1,Kitchen V,,
2815,Mark W,Steve C,2,1,Kitchen V,,
2816,James B,Martin B,2,5,Kitchen V,,
2817,James B,Mark W,1,2,Kitchen V,,
2818,Steve C,Martin B,5,2,Kitchen V,,
2819,Mark W,Martin B,3,4,Kitchen V,,
2820,Steve C,James B,3,1,Kitchen V,,
2821,Steve C,Mark W,5,1,Kitchen V,,
2822,Martin B,James B,2,1,Kitchen V,,
2823,Mark W,James B,3,2,Kitchen V,,
2824,Martin B,Steve C,6,2,Kitchen V,,
2825,Martin B,Mark W,4,3,Kitchen V,,
2826,James B,Steve C,3,6,Kitchen V,,
2827,Mark W,Steve C,3,5,Kitchen V,,
2828,James B,Martin B,5,2,Kitchen V,,
2829,James B,Mark W,5,0,Kitchen V,,
2830,Steve C,Martin B,4,5,Kitchen V,,
2831,Mark W,Martin B,1,4,Kitchen V,,
2832,Steve C,James B,3,0,Kitchen V,,
2833,Steve C,Mark W,7,6,Kitchen V,,
2834,Martin B,James B,4,4,Kitchen V,,
2835,Mark W,James B,1,2,Kitchen V,,
2836,Martin B,Steve C,2,3,Kitchen V,,
2837,Martin B,Mark W,4,7,Kitchen V,,
2838,James B,Steve C,3,2,Kitchen V,,
2839,Mark W,Steve C,2,2,Kitchen V,,
2840,James B,Martin B,4,4,Kitchen V,,
2841,James B,Mark W,1,4,Kitchen V,,
2842,Steve C,Martin B,7,4,Kitchen V,,
2843,Mark W,Martin B,7,4,Kitchen V,,
2844,Steve C,James B,1,2,Kitchen V,,
2845,Steve C,Mark W,6,1,Kitchen V,,
2846,Martin B,James B,4,1,Kitchen V,,
2847,Mark W,James B,0,2,Kitchen V,,
2848,Martin B,Steve C,4,4,Kitchen V,,
2850,Rikki F,Robert S,9,6,Sheffield,,
2851,James B,Jacob K,4,0,Sheffield,,
2852,Martin B,James L,5,3,Sheffield,,
2853,Paul A,Malcolm A,3,5,Sheffield,,
2854,Mark W,Martin J,2,6,Sheffield,,
2855,Nazim C,Steve C,5,4,Sheffield,,
2856,Dan S,Andy B,1,0,Sheffield,,
2857,Jon G,Nick H,3,2,Sheffield,,
2858,Robert S,Jacob K,6,4,Sheffield,,
2859,James L,Rikki F,5,8,Sheffield,,
2860,Malcolm A,James B,2,3,Sheffield,,
2861,Trevor D,Martin B,6,4,Sheffield,,
2862,Martin J,Paul A,11,1,Sheffield,,
2863,Andy B,Mark W,1,2,Sheffield,,
2864,Nick H,Nazim C,0,8,Sheffield,,
2865,Jon G,Dan S,1,4,Sheffield,,
2866,James L,Robert S,5,3,Sheffield,,
2867,Jacob K,Malcolm A,2,1,Sheffield,,
2868,Rikki F,Trevor D,8,2,Sheffield,,
2869,James B,Martin J,1,6,Sheffield,,
2870,Martin B,Steve C,4,1,Sheffield,,
2871,Paul A,Andy B,2,1,Sheffield,,
2872,Mark W,Jon G,6,1,Sheffield,,
2873,Nazim C,Dan S,4,2,Sheffield,,
2874,Robert S,Malcolm A,6,3,Sheffield,,
2875,Trevor D,James L,7,2,Sheffield,,
2876,Martin J,Jacob K,4,0,Sheffield,,
2877,Steve C,Rikki F,4,1,Sheffield,,
2878,Andy B,James B,1,3,Sheffield,,
2879,Nick H,Martin B,3,6,Sheffield,,
2880,Jon G,Paul A,7,2,Sheffield,,
2881,Nazim C,Mark W,6,2,Sheffield,,
2882,Trevor D,Robert S,3,2,Sheffield,,
2883,Malcolm A,Martin J,2,5,Sheffield,,
2884,James L,Steve C,5,3,Sheffield,,
2885,Jacob K,Andy B,4,0,Sheffield,,
2886,Rikki F,Nick H,11,0,Sheffield,,
2887,James B,Jon G,4,2,Sheffield,,
2888,Martin B,Dan S,7,2,Sheffield,,
2889,Paul A,Nazim C,6,4,Sheffield,,
2890,Robert S,Martin J,2,4,Sheffield,,
2891,Steve C,Trevor D,2,6,Sheffield,,
2892,Andy B,Malcolm A,2,3,Sheffield,,
2893,Nick H,James L,1,9,Sheffield,,
2894,Jon G,Jacob K,2,0,Sheffield,,
2895,Dan S,Rikki F,6,5,Sheffield,,
2896,Nazim C,James B,4,3,Sheffield,,
2897,Mark W,Martin B,3,3,Sheffield,,
2898,Steve C,Robert S,3,5,Sheffield,,
2899,Martin J,Andy B,7,2,Sheffield,,
2900,Trevor D,Nick H,10,0,Sheffield,,
2901,Malcolm A,Jon G,9,2,Sheffield,,
2902,James L,Dan S,4,3,Sheffield,,
2903,Jacob K,Nazim C,3,0,Sheffield,,
2904,Rikki F,Mark W,7,0,Sheffield,,
2905,Martin B,Paul A,8,2,Sheffield,,
2906,Robert S,Andy B,7,1,Sheffield,,
2907,Nick H,Steve C,1,6,Sheffield,,
2908,Jon G,Martin J,3,8,Sheffield,,
2909,Dan S,Trevor D,4,7,Sheffield,,
2910,Nazim C,Malcolm A,6,2,Sheffield,,
2911,Mark W,James L,2,1,Sheffield,,
2912,Paul A,Rikki F,2,8,Sheffield,,
2913,Martin B,James B,1,1,Sheffield,,
2914,Nick H,Robert S,1,7,Sheffield,,
2915,Andy B,Jon G,0,2,Sheffield,,
2916,Steve C,Dan S,5,5,Sheffield,,
2917,Martin J,Nazim C,7,3,Sheffield,,
2918,Trevor D,Mark W,3,2,Sheffield,,
2919,James L,Paul A,6,1,Sheffield,,
2920,Jacob K,Martin B,3,4,Sheffield,,
2921,Rikki F,James B,4,4,Sheffield,,
2922,Robert S,Jon G,7,1,Sheffield,,
2923,Dan S,Nick H,5,0,Sheffield,,
2924,Nazim C,Andy B,5,2,Sheffield,,
2925,Mark W,Steve C,2,2,Sheffield,,
2926,Paul A,Trevor D,3,3,Sheffield,,
2927,Martin B,Malcolm A,5,3,Sheffield,,
2928,James B,James L,2,7,Sheffield,,
2929,Rikki F,Jacob K,8,2,Sheffield,,
2930,Dan S,Robert S,3,5,Sheffield,,
2931,Jon G,Nazim C,3,2,Sheffield,,
2932,Nick H,Mark W,2,7,Sheffield,,
2933,Steve C,Paul A,2,1,Sheffield,,
2934,Martin J,Martin B,7,2,Sheffield,,
2935,Trevor D,James B,5,2,Sheffield,,
2936,Malcolm A,Rikki F,4,5,Sheffield,,
2937,James L,Jacob K,6,2,Sheffield,,
2938,Robert S,Nazim C,5,2,Sheffield,,
2939,Mark W,Dan S,4,3,Sheffield,,
2940,Paul A,Nick H,3,3,Sheffield,,
2941,Martin B,Andy B,7,3,Sheffield,,
2942,James B,Steve C,3,2,Sheffield,,
2943,Rikki F,Martin J,7,3,Sheffield,,
2944,Jacob K,Trevor D,2,4,Sheffield,,
2945,James L,Malcolm A,2,3,Sheffield,,
2946,Mark W,Robert S,2,4,Sheffield,,
2947,Dan S,Paul A,4,1,Sheffield,,
2948,Jon G,Martin B,2,6,Sheffield,,
2949,Nick H,James B,0,6,Sheffield,,
2950,Andy B,Rikki F,0,4,Sheffield,,
2951,Steve C,Jacob K,8,2,Sheffield,,
2952,Martin J,James L,6,2,Sheffield,,
2953,Trevor D,Malcolm A,12,2,Sheffield,,
2954,Paul A,Mark W,2,2,Sheffield,,
2955,Martin B,Nazim C,6,2,Sheffield,,
2956,James B,Dan S,4,3,Sheffield,,
2957,Rikki F,Jon G,6,0,Sheffield,,
2958,Jacob K,Nick H,8,0,Sheffield,,
2959,James L,Andy B,8,0,Sheffield,,
2960,Malcolm A,Steve C,2,8,Sheffield,,
2961,Trevor D,Martin J,2,3,Sheffield,,
2962,Paul A,Robert S,1,7,Sheffield,,
2963,Mark W,James B,1,2,Sheffield,,
2964,Nazim C,Rikki F,7,10,Sheffield,,
2965,Dan S,Jacob K,5,3,Sheffield,,
2966,Jon G,James L,3,9,Sheffield,,
2967,Nick H,Malcolm A,0,6,Sheffield,,
2968,Andy B,Trevor D,3,3,Sheffield,,
2969,Steve C,Martin J,1,7,Sheffield,,
2970,Robert S,Martin B,5,2,Sheffield,,
2971,James B,Paul A,3,3,Sheffield,,
2972,Jacob K,Mark W,6,2,Sheffield,,
2973,James L,Nazim C,8,2,Sheffield,,
2974,Malcolm A,Dan S,2,5,Sheffield,,
2975,Trevor D,Jon G,6,2,Sheffield,,
2976,Martin J,Nick H,9,1,Sheffield,,
2977,Steve C,Andy B,8,0,Sheffield,,
2978,James B,Robert S,3,6,Sheffield,,
2979,Martin B,Rikki F,4,9,Sheffield,,
2980,Paul A,Jacob K,2,1,Sheffield,,
2981,Mark W,Malcolm A,5,3,Sheffield,,
2982,Nazim C,Trevor D,1,4,Sheffield,,
2983,Dan S,Martin J,2,3,Sheffield,,
2984,Jon G,Steve C,1,6,Sheffield,,
2985,Nick H,Andy B,0,2,Sheffield,,
2986,Robert S,Rikki F,2,3,Sheffield,,
2987,Jacob K,James B,3,4,Sheffield,,
2988,James L,Martin B,5,4,Sheffield,,
2989,Malcolm A,Paul A,5,0,Sheffield,,
2990,Martin J,Mark W,8,2,Sheffield,,
2991,Steve C,Nazim C,10,4,Sheffield,,
2992,Andy B,Dan S,1,2,Sheffield,,
2993,Nick H,Jon G,0,2,Sheffield,,
2994,Jacob K,Robert S,6,0,Sheffield,,
2995,Rikki F,James L,4,2,Sheffield,,
2996,James B,Malcolm A,6,2,Sheffield,,
2997,Martin B,Trevor D,3,4,Sheffield,,
2998,Paul A,Martin J,4,3,Sheffield,,
2999,Mark W,Andy B,8,0,Sheffield,,
3000,Nazim C,Nick H,7,1,Sheffield,,
3001,Dan S,Jon G,5,4,Sheffield,,
3002,Robert S,James L,6,2,Sheffield,,
3003,Malcolm A,Jacob K,7,2,Sheffield,,
3004,Trevor D,Rikki F,6,7,Sheffield,,
3005,Martin J,James B,7,3,Sheffield,,
3006,Steve C,Martin B,2,1,Sheffield,,
3007,Andy B,Paul A,2,3,Sheffield,,
3008,Jon G,Mark W,2,4,Sheffield,,
3009,Dan S,Nazim C,0,3,Sheffield,,
3010,Malcolm A,Robert S,3,2,Sheffield,,
3011,James L,Trevor D,3,6,Sheffield,,
3012,Jacob K,Martin J,2,5,Sheffield,,
3013,Rikki F,Steve C,11,3,Sheffield,,
3014,James B,Andy B,8,2,Sheffield,,
3015,Martin B,Nick H,10,1,Sheffield,,
3016,Paul A,Jon G,3,3,Sheffield,,
3017,Mark W,Nazim C,2,5,Sheffield,,
3018,Robert S,Trevor D,4,3,Sheffield,,
3019,Martin J,Malcolm A,12,1,Sheffield,,
3020,Steve C,James L,6,2,Sheffield,,
3021,Andy B,Jacob K,4,1,Sheffield,,
3022,Nick H,Rikki F,0,14,Sheffield,,
3023,Jon G,James B,1,0,Sheffield,,
3024,Dan S,Martin B,6,3,Sheffield,,
3025,Nazim C,Paul A,8,3,Sheffield,,
3026,Martin J,Robert S,4,4,Sheffield,,
3027,Trevor D,Steve C,3,7,Sheffield,,
3028,Malcolm A,Andy B,3,4,Sheffield,,
3029,James L,Nick H,5,2,Sheffield,,
3030,Jacob K,Jon G,8,1,Sheffield,,
3031,Rikki F,Dan S,8,1,Sheffield,,
3032,James B,Nazim C,6,0,Sheffield,,
3033,Martin B,Mark W,7,1,Sheffield,,
3034,Robert S,Steve C,5,4,Sheffield,,
3035,Andy B,Martin J,1,11,Sheffield,,
3036,Nick H,Trevor D,0,6,Sheffield,,
3037,Jon G,Malcolm A,1,3,Sheffield,,
3038,Dan S,James L,1,0,Sheffield,,
3039,Nazim C,Jacob K,5,2,Sheffield,,
3040,Mark W,Rikki F,1,7,Sheffield,,
3041,Paul A,Martin B,2,5,Sheffield,,
3042,Andy B,Robert S,0,5,Sheffield,,
3043,Steve C,Nick H,8,0,Sheffield,,
3044,Martin J,Jon G,10,0,Sheffield,,
3045,Trevor D,Dan S,5,1,Sheffield,,
3046,Malcolm A,Nazim C,6,4,Sheffield,,
3047,James L,Mark W,7,1,Sheffield,,
3048,Rikki F,Paul A,10,1,Sheffield,,
3049,James B,Martin B,7,6,Sheffield,,
3050,Robert S,Nick H,10,0,Sheffield,,
3051,Jon G,Andy B,3,1,Sheffield,,
3052,Dan S,Steve C,0,4,Sheffield,,
3053,Nazim C,Martin J,3,9,Sheffield,,
3054,Mark W,Trevor D,3,5,Sheffield,,
3055,Paul A,James L,0,2,Sheffield,,
3056,Martin B,Jacob K,4,1,Sheffield,,
3057,James B,Rikki F,0,3,Sheffield,,
3058,Jon G,Robert S,2,5,Sheffield,,
3059,Nick H,Dan S,1,9,Sheffield,,
3060,Andy B,Nazim C,0,5,Sheffield,,
3061,Steve C,Mark W,5,3,Sheffield,,
3062,Trevor D,Paul A,5,1,Sheffield,,
3063,Malcolm A,Martin B,2,2,Sheffield,,
3064,James L,James B,4,1,Sheffield,,
3065,Jacob K,Rikki F,4,9,Sheffield,,
3066,Robert S,Dan S,6,3,Sheffield,,
3067,Nazim C,Jon G,13,3,Sheffield,,
3068,Mark W,Nick H,7,0,Sheffield,,
3069,Paul A,Steve C,1,3,Sheffield,,
3070,Martin B,Martin J,3,8,Sheffield,,
3071,James B,Trevor D,5,3,Sheffield,,
3072,Rikki F,Malcolm A,12,2,Sheffield,,
3073,Jacob K,James L,3,5,Sheffield,,
3074,Nazim C,Robert S,2,6,Sheffield,,
3075,Dan S,Mark W,4,3,Sheffield,,
3076,Nick H,Paul A,1,4,Sheffield,,
3077,Andy B,Martin B,1,3,Sheffield,,
3078,Steve C,James B,3,1,Sheffield,,
3079,Martin J,Rikki F,4,3,Sheffield,,
3080,Trevor D,Jacob K,8,1,Sheffield,,
3081,Malcolm A,James L,3,3,Sheffield,,
3082,Robert S,Mark W,7,1,Sheffield,,
3083,Paul A,Dan S,3,2,Sheffield,,
3084,Martin B,Jon G,10,1,Sheffield,,
3085,James B,Nick H,12,0,Sheffield,,
3086,Rikki F,Andy B,7,1,Sheffield,,
3087,Jacob K,Steve C,1,7,Sheffield,,
3088,James L,Martin J,4,8,Sheffield,,
3089,Malcolm A,Trevor D,5,6,Sheffield,,
3090,Mark W,Paul A,3,2,Sheffield,,
3091,Nazim C,Martin B,1,6,Sheffield,,
3092,Dan S,James B,1,2,Sheffield,,
3093,Jon G,Rikki F,2,4,Sheffield,,
3094,Nick H,Jacob K,1,5,Sheffield,,
3095,Andy B,James L,2,3,Sheffield,,
3096,Steve C,Malcolm A,4,2,Sheffield,,
3097,Martin J,Trevor D,10,1,Sheffield,,
3098,Robert S,Paul A,4,4,Sheffield,,
3099,James B,Mark W,6,2,Sheffield,,
3100,Rikki F,Nazim C,11,3,Sheffield,,
3101,Jacob K,Dan S,1,4,Sheffield,,
3102,James L,Jon G,2,1,Sheffield,,
3103,Malcolm A,Nick H,4,3,Sheffield,,
3104,Trevor D,Andy B,6,1,Sheffield,,
3105,Martin J,Steve C,8,1,Sheffield,,
3106,Martin B,Robert S,7,2,Sheffield,,
3107,Paul A,James B,2,4,Sheffield,,
3108,Mark W,Jacob K,0,0,Sheffield,,
3109,Nazim C,James L,3,3,Sheffield,,
3110,Dan S,Malcolm A,4,3,Sheffield,,
3111,Jon G,Trevor D,3,7,Sheffield,,
3112,Nick H,Martin J,0,16,Sheffield,,
3113,Andy B,Steve C,0,6,Sheffield,,
3114,Robert S,James B,2,2,Sheffield,,
3115,Rikki F,Martin B,4,0,Sheffield,,
3116,Jacob K,Paul A,7,1,Sheffield,,
3117,Malcolm A,Mark W,1,1,Sheffield,,
3118,Trevor D,Nazim C,6,2,Sheffield,,
3119,Martin J,Dan S,12,2,Sheffield,,
3120,Steve C,Jon G,4,1,Sheffield,,
3121,Andy B,Nick H,4,0,Sheffield,,
3122,Apostolos T,Vasilis K,3,4,Athens XXI,,
3123,Spyros P,Panayotis P,6,3,Athens XXI,,
3124,Alkis P,Nikos A,3,1,Athens XXI,,
3125,Vasilis K,Panayotis P,6,2,Athens XXI,,
3126,Nikos A,Apostolos T,8,1,Athens XXI,,
3127,Alkis P,Spyros P,4,4,Athens XXI,,
3128,Nikos A,Vasilis K,8,0,Athens XXI,,
3129,Panayotis P,Alkis P,9,3,Athens XXI,,
3130,Apostolos T,Spyros P,0,4,Athens XXI,,
3131,Vasilis K,Alkis P,3,3,Athens XXI,,
3132,Spyros P,Nikos A,1,3,Athens XXI,,
3133,Apostolos T,Panayotis P,1,8,Athens XXI,,
3134,Spyros P,Vasilis K,5,4,Athens XXI,,
